CLIENTI,ID_CLIENTE,TEMPO_PERMANENZA,TEMPO_ATTESA,NUM_CAMBI_CASSA,PRODOTTI_ACQUISTATI
138,1.629,1.550,0,76
139,1.490,1.410,0,27
140,1.203,1.136,1,30
141,1.779,1.757,0,55
142,1.655,1.457,0,60
143,1.799,1.710,0,12
144,1.807,1.623,0,9
145,1.839,1.679,0,42
146,1.335,1.245,0,52
147,0.145,-1.000,-1,0
148,1.528,1.510,1,32
149,1.306,1.184,0,14
150,1.612,1.513,0,36
151,1.471,1.421,0,1
152,1.341,1.180,0,49
153,1.580,1.437,2,41
154,1.394,1.269,0,21
155,1.906,1.723,1,36
156,1.607,1.566,1,40
157,1.390,1.363,1,15
158,1.738,1.668,1,95
159,1.803,1.755,0,11
160,1.428,1.253,0,38
161,0.019,-1.000,-1,0
162,1.847,1.666,0,61
163,1.542,1.457,1,49
164,1.249,1.125,0,65
165,1.498,1.341,1,6
166,1.715,1.588,1,86
167,1.432,1.399,0,98
168,1.524,1.421,0,74
169,1.269,1.257,0,45
170,1.267,1.234,0,10
171,1.792,1.675,0,95
172,1.629,1.582,0,20
173,1.436,1.247,0,96
174,1.777,1.586,1,80
175,1.788,1.706,0,47
176,0.124,-1.000,-1,0
177,1.184,1.155,0,1
178,1.478,1.327,0,82
179,1.816,1.686,0,32
180,1.318,1.302,0,36
181,1.727,1.607,0,38
182,1.227,1.067,1,27
183,1.338,1.165,0,17
184,1.726,1.529,0,51
185,1.600,1.460,0,76
186,1.916,1.759,1,100
187,1.738,1.621,0,35
188,1.496,1.433,0,78
189,1.775,1.741,0,68
190,1.274,1.206,1,99
191,1.886,1.756,1,5
192,1.852,1.689,0,13
193,1.359,1.210,0,6
194,1.297,1.150,1,1
195,1.203,1.184,0,30
196,1.392,1.280,0,52
197,1.794,1.723,0,93
198,1.183,1.164,0,7
199,1.625,1.566,0,84
200,1.790,1.677,1,71
201,1.302,1.184,1,63
202,1.968,1.854,0,68
203,1.458,1.285,0,94
204,1.736,1.721,0,62
205,1.603,1.451,0,100
206,2.296,2.133,0,98
207,1.671,1.621,0,38
208,1.880,1.693,1,74
209,1.570,1.445,1,10
210,1.583,1.501,1,8
211,1.684,1.605,0,2
212,1.336,1.315,1,25
213,1.533,1.390,1,76
214,1.813,1.770,0,30
215,2.122,2.043,0,87
216,1.734,1.529,0,88
217,1.602,1.411,0,22
218,1.387,1.210,0,82
219,1.692,1.558,1,31
220,1.885,1.738,0,67
221,1.889,1.743,0,38
222,1.420,1.374,0,55
223,1.847,1.743,0,27
224,1.993,1.882,0,26
225,1.382,1.269,1,86
226,1.534,1.463,0,70
227,2.034,2.024,0,85
228,1.810,1.700,0,15
229,1.620,1.491,1,27
230,1.968,1.874,0,18
231,1.618,1.436,0,54
232,1.595,1.447,0,37
233,2.205,2.015,0,99
234,1.837,1.694,0,77
235,1.372,1.319,0,44
236,1.674,1.645,1,60
237,1.771,1.692,0,23
238,1.875,1.706,1,60
239,1.727,1.594,0,38
240,1.505,1.334,1,65
241,1.247,1.160,0,94
242,1.926,1.911,1,53
243,1.521,1.474,1,47
244,1.836,1.796,1,84
245,1.555,1.528,1,17
246,1.736,1.587,0,9
247,2.496,2.328,1,68
248,1.676,1.584,1,86
249,1.564,1.549,0,53
250,2.103,1.977,0,55
251,1.941,1.912,0,85
252,2.064,1.967,1,41
253,1.822,1.785,0,79
254,1.701,1.672,0,69
255,1.377,1.322,0,98
256,1.851,1.771,0,78
257,1.596,1.456,1,46
258,1.607,1.482,1,4
259,1.558,1.510,0,51
260,2.387,2.188,0,64
261,1.755,1.588,1,70
262,2.206,2.059,1,59
263,1.639,1.439,1,62
264,1.884,1.846,1,78
265,2.150,1.958,0,70
266,1.629,1.582,0,22
267,1.562,1.435,1,29
268,1.761,1.687,0,41
269,1.219,1.139,0,64
270,2.152,2.006,0,71
271,1.342,1.220,1,84
272,1.480,1.281,1,2
273,1.596,1.556,0,90
274,2.099,2.040,0,93
275,1.366,1.255,1,2
276,1.800,1.665,0,80
277,1.484,1.416,0,65
278,1.826,1.729,0,7
279,1.977,1.858,0,65
280,2.236,2.163,0,75
281,1.983,1.846,0,4
282,1.955,1.915,0,10
283,1.261,1.170,0,15
284,1.475,1.279,1,57
285,1.329,1.218,1,38
286,1.717,1.648,0,69
287,1.678,1.487,0,93
288,1.995,1.863,0,83
289,1.475,1.361,1,54
290,1.851,1.699,1,60
291,0.093,-1.000,-1,0
292,2.010,1.873,1,15
293,2.024,1.872,0,61
294,1.882,1.696,1,38
295,1.835,1.747,0,26
296,1.677,1.524,1,40
297,1.659,1.622,0,53
298,1.686,1.603,1,39
299,1.475,1.437,1,53
300,1.174,1.164,1,35
301,1.730,1.642,0,74
302,1.384,1.333,1,49
303,1.983,1.792,0,80
304,1.878,1.810,0,44
305,1.789,1.774,0,56
306,1.378,1.306,1,26
307,1.936,1.861,0,47
308,1.595,1.463,0,29
309,1.532,1.389,0,46
310,1.664,1.580,0,44
311,1.501,1.460,0,57
312,1.898,1.766,0,3
313,1.299,1.237,1,78
314,1.907,1.788,0,50
315,1.698,1.661,0,49
316,1.735,1.561,0,36
317,1.452,1.369,0,1
318,1.646,1.454,0,9
319,1.622,1.521,0,73
320,1.482,1.426,1,59
321,1.648,1.533,1,4
322,1.456,1.413,0,71
323,1.939,1.918,1,81
324,1.658,1.561,0,41
325,1.628,1.545,0,58
326,1.483,1.460,1,52
327,2.115,2.098,1,80
328,1.561,1.533,0,74
329,1.812,1.797,1,28
330,1.458,1.408,0,76
331,2.230,2.131,0,84
332,1.610,1.425,0,62
333,1.222,1.145,0,9
334,1.453,1.387,0,33
335,1.507,1.400,0,79
336,2.020,1.948,0,74
337,1.750,1.693,0,82
338,1.460,1.261,1,62
339,1.519,1.484,1,78
340,1.678,1.633,0,86
341,1.355,1.302,0,8
342,1.739,1.587,1,94
343,2.128,2.045,0,60
344,1.634,1.489,1,42
345,2.026,1.986,0,90
346,1.366,1.353,0,81
347,1.815,1.629,1,53
348,1.789,1.633,1,74
349,1.292,1.183,0,67
350,1.940,1.764,1,64
351,2.136,2.100,0,76
352,1.534,1.475,0,56
353,1.286,1.235,0,13
354,1.378,1.184,0,51
355,1.901,1.779,0,84
356,1.722,1.678,1,73
357,1.881,1.789,0,64
358,2.042,1.938,0,11
359,1.932,1.778,0,60
360,2.090,1.979,0,91
361,1.972,1.865,1,87
362,1.534,1.514,1,1
363,2.202,2.008,0,55
364,1.878,1.678,1,64
365,1.638,1.495,1,57
366,2.004,1.953,0,92
367,1.079,1.044,1,16
368,1.370,1.294,0,86
369,2.076,1.962,0,83
370,1.932,1.804,1,47
371,2.013,1.876,0,83
372,2.182,2.083,0,86
373,2.154,1.996,0,30
374,1.264,1.206,1,7
375,1.895,1.862,0,7
376,1.842,1.830,1,26
377,2.383,2.324,0,72
378,1.918,1.800,0,42
379,1.153,1.094,1,29
380,2.424,2.279,0,31
381,1.215,1.077,1,48
382,1.908,1.862,0,65
383,1.752,1.729,0,41
384,1.983,1.875,0,91
385,1.387,1.282,0,100
386,2.343,2.223,0,99
387,1.707,1.540,0,30
388,1.467,1.285,1,40
389,1.569,1.425,1,6
390,2.243,2.060,0,59
391,1.542,1.380,0,10
392,2.337,2.239,0,31
393,1.542,1.398,1,21
394,1.788,1.727,0,97
395,1.347,1.314,1,35
396,1.974,1.825,1,73
397,2.367,2.345,0,98
398,1.599,1.465,0,100
399,1.616,1.579,1,84
400,1.607,1.439,0,45
401,1.754,1.669,0,25
402,1.584,1.452,0,25
403,2.411,2.291,0,85
404,1.902,1.840,0,57
405,2.219,2.029,0,96
406,1.133,1.117,1,39
407,1.853,1.666,0,85
408,1.716,1.555,1,68
409,2.080,1.943,0,57
410,1.844,1.744,0,53
411,1.758,1.599,0,28
412,0.975,0.880,0,23
413,2.288,2.242,0,25
414,2.120,1.969,0,64
415,0.967,0.876,1,23
416,1.735,1.664,1,73
417,1.866,1.725,0,91
418,1.726,1.632,1,1
419,1.086,0.909,1,40
420,0.813,0.791,0,36
421,1.668,1.602,1,84
422,2.113,2.005,0,75
423,1.829,1.720,0,85
424,1.297,1.109,0,75
425,1.039,0.897,1,40
426,1.869,1.858,0,81
427,2.013,1.897,1,67
428,1.698,1.615,1,40
429,2.106,1.968,0,62
430,1.811,1.701,0,51
431,1.918,1.892,0,72
432,1.982,1.883,0,10
433,1.932,1.761,0,31
434,1.393,1.230,1,91
435,2.059,1.992,1,77
436,1.524,1.369,1,67
437,1.800,1.600,1,81
438,1.583,1.560,1,33
439,1.806,1.683,0,50
440,1.841,1.710,0,75
441,1.809,1.650,1,49
442,2.008,1.931,1,93
